data_per_month,call_minutes,price_initial,name,text_messages,carrier_url,mobile_carrier_id
750,130,21560,우리끼리 U 308,-1,https://www.iplusu.co.kr/iplusu.do?pid=51,5
750,130,21560,우리끼리 U 308 안심,-1,https://www.iplusu.co.kr/iplusu.do?pid=51,5
1500,185,26180,우리끼리  U 374,-1,https://www.iplusu.co.kr/iplusu.do?pid=51,5
1500,185,26180,우리끼리 U 374 안심,-1,https://www.iplusu.co.kr/iplusu.do?pid=51,5
2500,250,31570,우리끼리 U 451,-1,https://www.iplusu.co.kr/iplusu.do?pid=51,5
2500,250,31570,우리끼리 U 451 안심,-1,https://www.iplusu.co.kr/iplusu.do?pid=51,5
300,-1,22990,누구나 U 329,-1,https://www.iplusu.co.kr/iplusu.do?pid=51,5
1000,-1,26800,누구나 U 383,-1,https://www.iplusu.co.kr/iplusu.do?pid=51,5
5000,-1,39270,누구나 U 561,-1,https://www.iplusu.co.kr/iplusu.do?pid=51,5
10000,-1,46090,누구나 U 659,-1,https://www.iplusu.co.kr/iplusu.do?pid=51,5
400,50,9900,실속 알뜰,100,https://www.iplusu.co.kr/iplusu.do?pid=51,5
750,160,20790,실속 U 297,200,https://www.iplusu.co.kr/iplusu.do?pid=51,5
2500,250,29260,실속 U 418,250,https://www.iplusu.co.kr/iplusu.do?pid=51,5
6000,350,35420,실속 U 506 안심,350,https://www.iplusu.co.kr/iplusu.do?pid=51,5
10000,450,41580,실속 U 594,450,https://www.iplusu.co.kr/iplusu.do?pid=51,5
10000,450,41580,실속 U 594 안심,450,https://www.iplusu.co.kr/iplusu.do?pid=51,5
10000,0,36000,패드 10.0 안심,0,https://www.iplusu.co.kr/iplusu.do?pid=51,5
0,999,13860,그린 U 198,0,https://www.iplusu.co.kr/iplusu.do?pid=51,5
0,999,20790,그린 U 297,0,https://www.iplusu.co.kr/iplusu.do?pid=51,5
6000,0,28710,Biz 패드 6.0 안심,0,https://www.iplusu.co.kr/iplusu.do?pid=51,5
3000,-1,44350,Biz 누구나 U 493,-1,https://www.iplusu.co.kr/iplusu.do?pid=51,5
10000,-1,59290,Biz 누구나 U 659,-1,https://www.iplusu.co.kr/iplusu.do?pid=51,5
25000,-1,98010,Biz 누구나 U 1089,-1,https://www.iplusu.co.kr/iplusu.do?pid=51,5