name,call_minutes,data_per_month,text_messages,initial_price,mobile_carrier_id,carrier_url
1GB/60분(임직원),60,1000,0,9800,9,http://www.s1mobile.co.kr/home/plan/rateList.do?rateDv=1
이마트24 1GB/60분,60,1000,0,9800,9,http://www.s1mobile.co.kr/home/plan/rateList.do?rateDv=1
데이터만 10GB(임직원),0,10000,0,12000,9,http://www.s1mobile.co.kr/home/plan/rateList.do?rateDv=1
이마트24 데이터만 10GB,0,10000,0,12000,9,http://www.s1mobile.co.kr/home/plan/rateList.do?rateDv=1
1GB+/100분(임직원),100,1000,100,15000,9,http://www.s1mobile.co.kr/home/plan/rateList.do?rateDv=1
이마트24 1GB+/100분,100,1000,100,15000,9,http://www.s1mobile.co.kr/home/plan/rateList.do?rateDv=1
데이터만 20GB(임직원),0,10000,0,17000,9,http://www.s1mobile.co.kr/home/plan/rateList.do?rateDv=1
이마트24 데이터만 20GB,0,20000,0,17000,9,http://www.s1mobile.co.kr/home/plan/rateList.do?rateDv=1
2GB/200분(임직원),200,2000,100,18273,9,http://www.s1mobile.co.kr/home/plan/rateList.do?rateDv=1
이마트24 2GB/200분,200,2000,100,18273,9,http://www.s1mobile.co.kr/home/plan/rateList.do?rateDv=1
안심 USIM 보이스피싱 방지 2GB/200분,200,2000,100,19273,9,http://www.s1mobile.co.kr/home/plan/rateList.do?rateDv=1
2.5GB+/250분(임직원),250,2500,250,24000,9,http://www.s1mobile.co.kr/home/plan/rateList.do?rateDv=1
이마트24 2.5GB+/250분,250,2500,250,24000,9,http://www.s1mobile.co.kr/home/plan/rateList.do?rateDv=1
이마트24 청소년 700M+,-1,750,-1,24000,9,http://www.s1mobile.co.kr/home/plan/rateList.do?rateDv=1
5GB/200분(임직원),200,5000,100,24545,9,http://www.s1mobile.co.kr/home/plan/rateList.do?rateDv=1
이마트24 5GB/200분,200,5000,100,24545,9,http://www.s1mobile.co.kr/home/plan/rateList.do?rateDv=1
6GB/300분(임직원),300,6000,100,28000,9,http://www.s1mobile.co.kr/home/plan/rateList.do?rateDv=1
이마트24 6GB/300분,300,6000,100,28000,9,http://www.s1mobile.co.kr/home/plan/rateList.do?rateDv=1
5GB+/200분(임직원),200,5000,100,29000,9,http://www.s1mobile.co.kr/home/plan/rateList.do?rateDv=1
이마트24 5GB+/200분,200,5000,100,29000,9,http://www.s1mobile.co.kr/home/plan/rateList.do?rateDv=1
6GB+/통화 마음껏(임직원),-1,6000,-1,31000,9,http://www.s1mobile.co.kr/home/plan/rateList.do?rateDv=1
이마트24 6GB+/통화 마음껏,-1,6000,-1,31000,9,http://www.s1mobile.co.kr/home/plan/rateList.do?rateDv=1
7GB+/통화 마음껏(임직원),-1,7000,-1,34000,9,http://www.s1mobile.co.kr/home/plan/rateList.do?rateDv=1
이마트24 7GB+/통화 마음껏,-1,7000,-1,34000,9,http://www.s1mobile.co.kr/home/plan/rateList.do?rateDv=1
(New)이마트24 15GB+/100분,100,15000,100,35000,9,http://www.s1mobile.co.kr/home/plan/rateList.do?rateDv=1
15GB+/100분(임직원),100,15000,100,35000,9,http://www.s1mobile.co.kr/home/plan/rateList.do?rateDv=1
(New)이마트24 15GB+/300분,300,15000,300,38000,9,http://www.s1mobile.co.kr/home/plan/rateList.do?rateDv=1
(New)이마트24 데이터/통화 마음껏,-1,11000,-1,38000,9,http://www.s1mobile.co.kr/home/plan/rateList.do?rateDv=1
15GB+/300분(임직원),300,15000,300,38000,9,http://www.s1mobile.co.kr/home/plan/rateList.do?rateDv=1
데이터/통화 마음껏(임직원),-1,11000,-1,38000,9,http://www.s1mobile.co.kr/home/plan/rateList.do?rateDv=1
데이터/통화 마음껏 (홀인원 안심),-1,11000,-1,39182,9,http://www.s1mobile.co.kr/home/plan/rateList.do?rateDv=1
데이터/통화 마음껏 (홀인원 안심)(임직원),-1,11000,-1,39182,9,http://www.s1mobile.co.kr/home/plan/rateList.do?rateDv=1
 안심 USIM 매일 5.0+U,-1,5000,-1,49000,9,http://www.s1mobile.co.kr/home/plan/rateList.do?rateDv=1